"행정구역","2020년12월_계_총인구수","2020년12월_계_연령구간인구수","2020년12월_계_0~9세","2020년12월_계_10~19세","2020년12월_계_20~29세","2020년12월_계_30~39세","2020년12월_계_40~49세","2020년12월_계_50~59세","2020년12월_계_60~69세","2020년12월_계_70~79세","2020년12월_계_80~89세","2020년12월_계_90~99세","2020년12월_계_100세 이상"
"서울특별시  (1100000000)","9,668,465","9,668,465","623,745","781,866","1,460,411","1,475,106","1,528,182","1,523,556","1,243,954","704,076","278,094","42,683","6,792"
"서울특별시 종로구 (1111000000)","149,384","149,384","7,527","11,013","23,416","19,943","22,231","25,459","19,948","12,500","5,978","1,093","276"
"서울특별시 종로구 청운효자동(1111051500)","12,431","12,431","827","1,165","1,596","1,694","2,151","1,976","1,388","1,010","529","75","20"
"서울특별시 종로구 사직동(1111053000)","9,526","9,526","579","692","1,237","1,441","1,478","1,560","1,195","768","462","93","21"
"서울특별시 종로구 삼청동(1111054000)","2,640","2,640","105","191","320","359","369","417","413","281","149","30","6"
"서울특별시 종로구 부암동(1111055000)","10,022","10,022","553","927","1,340","1,239","1,630","1,725","1,320","806","392","78","12"
"서울특별시 종로구 평창동(1111056000)","18,391","18,391","1,170","1,645","2,451","2,236","2,763","3,267","2,512","1,386","772","166","23"
"서울특별시 종로구 무악동(1111057000)","8,546","8,546","694","1,014","936","943","1,505","1,419","1,003","650","311","52","19"
"서울특별시 종로구 교남동(1111058000)","10,477","10,477","859","861","1,277","1,708","1,850","1,623","1,159","746","325","54","15"
"서울특별시 종로구 가회동(1111060000)","4,325","4,325","201","343","495","572","768","685","588","436","189","38","10"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,256","7,256","188","209","880","942","962","1,339","1,399","834","369","90","44"
"서울특별시 종로구 종로5.6가동(1111063000)","5,242","5,242","118","231","1,080","710","587","977","750","527","215","38","9"
"서울특별시 종로구 이화동(1111064000)","7,588","7,588","236","428","1,680","1,239","972","1,106","946","610","310","47","14"
"서울특별시 종로구 혜화동(1111065000)","16,799","16,799","689","1,313","4,483","2,079","2,295","2,304","1,631","1,250","636","98","21"
"서울특별시 종로구 창신제1동(1111067000)","5,129","5,129","127","245","609","539","637","1,114","1,030","546","229","44","9"
"서울특별시 종로구 창신제2동(1111068000)","8,318","8,318","245","507","1,166","894","1,103","1,833","1,383","811","309","53","14"
"서울특별시 종로구 창신제3동(1111069000)","6,925","6,925","381","530","966","961","957","1,290","1,001","540","240","47","12"
"서울특별시 종로구 숭인제1동(1111070000)","6,078","6,078","286","362","808","826","943","1,147","884","544","232","36","10"
"서울특별시 종로구 숭인제2동(1111071000)","9,691","9,691","269","350","2,092","1,561","1,261","1,677","1,346","755","309","54","17"
"서울특별시 중구 (1114000000)","125,240","125,240","6,836","6,773","18,586","20,107","18,011","20,702","17,551","10,733","4,836","900","205"
"서울특별시 중구 소공동(1114052000)","2,069","2,069","166","113","219","419","449","307","235","106","40","10","5"
"서울특별시 중구 회현동(1114054000)","5,136","5,136","199","195","511","537","665","969","1,036","601","292","88","43"
"서울특별시 중구 명동(1114055000)","2,914","2,914","83","131","357","387","429","496","527","323","144","28","9"
"서울특별시 중구 필동(1114057000)","4,034","4,034","191","170","726","622","493","610","624","351","185","52","10"
"서울특별시 중구 장충동(1114058000)","4,664","4,664","183","290","1,256","664","564","594","516","379","185","30","3"
"서울특별시 중구 광희동(1114059000)","5,224","5,224","131","200","896","819","638","873","851","551","209","41","15"
"서울특별시 중구 을지로동(1114060500)","1,816","1,816","48","37","190","301","197","327","398","207","79","21","11"
"서울특별시 중구 신당동(1114061500)","7,692","7,692","276","288","1,367","1,308","1,055","1,394","1,025","665","248","58","8"
"서울특별시 중구 다산동(1114062500)","14,243","14,243","580","821","2,377","2,261","2,066","2,316","1,980","1,236","510","82","14"
"서울특별시 중구 약수동(1114063500)","17,128","17,128","1,118","958","2,022","2,424","2,464","2,845","2,677","1,645","813","153","9"
"서울특별시 중구 청구동(1114064500)","14,056","14,056","776","882","2,014","2,212","1,953","2,371","1,951","1,191","608","88","10"
"서울특별시 중구 신당제5동(1114065000)","10,527","10,527","576","548","1,676","1,747","1,548","1,877","1,322","841","330","49","13"
"서울특별시 중구 동화동(1114066500)","10,656","10,656","743","855","1,434","1,344","1,597","1,956","1,426","792","425","70","14"
"서울특별시 중구 황학동(1114067000)","12,583","12,583","737","517","2,088","2,803","1,831","1,781","1,516","906","341","54","9"
"서울특별시 중구 중림동(1114068000)","12,498","12,498","1,029","768","1,453","2,259","2,062","1,986","1,467","939","427","76","32"
"서울특별시 용산구 (1117000000)","230,040","230,040","13,496","15,609","33,485","38,069","35,698","37,070","28,840","17,203","8,572","1,627","371"
"서울특별시 용산구 후암동(1117051000)","17,696","17,696","965","1,272","2,597","2,830","2,803","2,867","2,259","1,340","603","129","31"
"서울특별시 용산구 용산2가동(1117052000)","9,972","9,972","364","534","1,557","1,736","1,391","1,454","1,451","923","452","88","22"
"서울특별시 용산구 남영동(1117053000)","7,623","7,623","190","262","960","1,041","1,099","1,625","1,368","689","286","72","31"
"서울특별시 용산구 청파동(1117055500)","19,829","19,829","665","1,175","4,244","3,113","2,757","3,133","2,387","1,526","687","108","34"
"서울특별시 용산구 원효로제1동(1117056000)","16,089","16,089","1,318","868","2,458","3,695","2,628","2,209","1,619","842","363","70","19"
"서울특별시 용산구 원효로제2동(1117057000)","14,202","14,202","941","1,258","1,856","2,074","2,306","2,348","1,733","1,056","545","71","14"
"서울특별시 용산구 효창동(1117058000)","10,205","10,205","768","767","1,575","1,859","1,570","1,566","1,061","638","327","60","14"
"서울특별시 용산구 용문동(1117059000)","12,327","12,327","766","843","1,856","2,023","1,863","1,975","1,552","972","393","71","13"
"서울특별시 용산구 한강로동(1117062500)","20,444","20,444","1,122","997","3,138","4,043","2,867","3,464","2,544","1,422","662","142","43"
"서울특별시 용산구 이촌제1동(1117063000)","28,139","28,139","2,734","2,918","3,002","3,663","4,914","4,593","3,005","1,839","1,198","240","33"
"서울특별시 용산구 이촌제2동(1117064000)","8,727","8,727","563","514","965","1,470","1,257","1,406","1,337","770","367","64","14"
"서울특별시 용산구 이태원제1동(1117065000)","6,923","6,923","237","282","1,054","1,150","880","1,131","1,077","638","370","80","24"
"서울특별시 용산구 이태원제2동(1117066000)","9,285","9,285","432","494","1,409","1,656","1,421","1,300","1,208","841","424","85","15"
"서울특별시 용산구 한남동(1117068500)","21,176","21,176","1,178","1,162","2,784","4,038","3,379","3,291","2,781","1,639","727","162","35"
"서울특별시 용산구 서빙고동(1117069000)","13,187","13,187","787","1,471","1,802","1,522","2,468","2,219","1,418","806","602","86","6"
"서울특별시 용산구 보광동(1117070000)","14,216","14,216","466","792","2,228","2,156","2,095","2,489","2,040","1,262","566","99","23"
"서울특별시 성동구 (1120000000)","293,556","293,556","20,449","19,815","45,043","48,905","45,020","47,248","36,534","20,586","8,520","1,185","251"
"서울특별시 성동구 왕십리제2동(1120052000)","17,085","17,085","1,227","1,208","2,498","2,942","2,647","2,749","2,094","1,191","444","65","20"
"서울특별시 성동구 왕십리도선동(1120053500)","27,081","27,081","2,376","1,570","4,404","4,765","4,032","4,414","3,053","1,623","710","111","23"
"서울특별시 성동구 마장동(1120054000)","22,785","22,785","1,207","1,623","4,372","3,274","3,023","3,712","3,006","1,743","709","97","19"
"서울특별시 성동구 사근동(1120055000)","11,932","11,932","423","780","4,642","1,592","1,153","1,287","953","754","301","36","11"
"서울특별시 성동구 행당제1동(1120056000)","14,077","14,077","1,011","995","2,215","2,286","2,172","2,270","1,683","977","389","67","12"
"서울특별시 성동구 행당제2동(1120057000)","24,063","24,063","1,820","2,113","3,027","3,713","4,079","3,927","2,804","1,741","718","99","22"
"서울특별시 성동구 응봉동(1120058000)","15,764","15,764","1,190","1,685","1,754","2,254","2,937","2,482","1,681","1,181","522","69","9"
"서울특별시 성동구 금호1가동(1120059000)","15,711","15,711","1,310","1,058","1,823","2,765","2,547","2,385","2,109","1,125","513","64","12"
"서울특별시 성동구 금호2.3가동(1120061500)","23,409","23,409","1,750","1,497","2,931","4,172","3,760","3,695","2,981","1,756","741","100","26"
"서울특별시 성동구 금호4가동(1120062000)","14,704","14,704","1,391","959","1,507","2,804","2,574","2,118","1,786","1,060","442","54","9"
"서울특별시 성동구 옥수동(1120064500)","26,661","26,661","2,584","1,655","3,010","5,087","4,504","3,943","3,205","1,766","743","136","28"
"서울특별시 성동구 성수1가제1동(1120065000)","16,553","16,553","1,037","1,111","2,555","2,904","2,404","3,048","2,115","942","383","46","8"
"서울특별시 성동구 성수1가제2동(1120066000)","13,452","13,452","767","905","2,153","2,477","2,098","2,059","1,689","896","351","42","15"
"서울특별시 성동구 성수2가제1동(1120067000)","16,589","16,589","830","896","2,351","2,610","2,320","3,151","2,617","1,242","486","71","15"
"서울특별시 성동구 성수2가제3동(1120069000)","11,177","11,177","576","540","2,019","1,967","1,465","1,849","1,524","824","359","44","10"
"서울특별시 성동구 송정동(1120072000)","10,725","10,725","531","599","1,713","1,641","1,558","1,966","1,616","748","299","46","8"
"서울특별시 성동구 용답동(1120079000)","11,788","11,788","419","621","2,069","1,652","1,747","2,193","1,618","1,017","410","38","4"
"서울특별시 광진구 (1121500000)","346,682","346,682","19,572","25,931","62,940","55,983","52,482","54,541","42,460","22,428","8,850","1,277","218"
