호선,역번호,역명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1호선,150,서울역(1),1743865,1562398,1775452,1782515,1822907,1688385,1741978,1734927,1641596,1837980,1791791,1825061
1호선,151,시청(1),782060,640734,791551,815888,824692,754209,782444,788006,725843,914453,835386,867885
1호선,152,종각,1406723,1169723,1363922,1349279,1384409,1251023,1375099,1333026,1197762,1423904,1338360,1471748
1호선,153,종로3가(1),1098796,935466,1085127,1053355,1115802,1024958,1072728,1019735,952731,1104427,1029071,1096451
1호선,154,종로5가,850612,725584,864901,849988,872246,788147,806410,784547,745353,876801,835194,870831
1호선,155,동대문(1),445149,405699,485492,473944,492920,456262,447576,430342,437553,475074,449466,472333
1호선,156,신설동(1),490338,418572,515402,510521,521571,479401,499833,469055,461163,516421,497775,501872
1호선,157,제기동,670993,522887,640594,645655,654171,613337,616788,604139,600628,656722,616804,619263
1호선,158,청량리,818464,698002,831547,800161,819413,757575,752762,745398,740251,799071,766183,776701
1호선,159,동묘앞(1),324614,312833,373057,352238,379263,344322,312986,313463,321164,366327,337844,332773
2호선,201,시청(2),770682,631024,777036,818603,810947,750949,820939,783030,712435,850909,810197,828051
2호선,202,을지로입구,1539251,1290447,1561144,1567385,1584638,1488561,1587863,1558839,1451922,1636410,1587222,1687041
2호선,203,을지로3가(2),703150,575592,698998,712752,730446,680760,739447,700984,654460,752511,727745,740634
2호선,204,을지로4가(2),379456,310225,378333,374437,389267,365989,392355,379057,353804,426738,411107,419394
2호선,205,동대문역사문화공원(2),554950,499173,630458,604373,655672,591136,597194,600900,538149,637095,599651,623684
2호선,206,신당(2),458567,392792,481921,476582,486799,451047,467988,442664,433866,483015,467761,476633
2호선,207,상왕십리,442889,370978,454201,456933,469464,434124,458914,431698,420025,463233,456656,461379
2호선,208,왕십리(2),591696,508432,653760,632301,667878,599644,610128,577824,577617,630651,634671,632952
2호선,209,한양대,251026,196814,405651,421579,418920,343348,275897,236070,366319,400599,414362,341150
2호선,210,뚝섬,541752,454130,562040,593167,632372,570627,605724,573180,548290,631087,615718,599750
2호선,211,성수,884980,730821,887593,919072,917583,843305,926469,851739,810911,922827,914692,928745
2호선,212,건대입구(2),1338898,1184206,1432861,1384793,1488476,1328426,1356665,1310071,1246869,1375427,1363811,1403707
2호선,213,구의,754462,636515,764033,769023,783879,720775,765052,722324,693629,768447,756257,771056
2호선,214,강변,1381482,1272461,1423609,1390115,1475297,1349900,1384294,1382148,1297679,1422780,1390895,1402937
2호선,215,잠실나루,515661,426406,493323,530574,536153,479297,511421,468123,451236,510433,493414,496602
2호선,216,잠실(2),2631892,2360985,2606470,2843651,2778878,2503373,2689749,2665080,2367249,2786579,2662799,2850107
2호선,217,잠실새내,770963,652234,785780,786262,818737,738755,781339,740379,692856,778648,755591,780519
2호선,218,종합운동장(2),303548,251553,430053,430166,531505,443864,441417,438318,382913,578727,316720,334390
2호선,219,삼성,1841841,1506688,1801942,1840934,1919317,1716477,2007169,1839067,1590463,1839664,1891289,2070784
2호선,220,선릉,1748632,1382142,1650993,1706940,1700297,1573741,1779750,1628723,1496129,1689724,1694671,1715076
2호선,221,역삼,1555262,1224611,1451275,1483998,1446465,1335824,1553507,1421825,1302840,1458066,1458256,1486432
2호선,222,강남,3345577,2742288,3091190,3006328,3092811,2903682,3373235,3146058,2695243,2999912,2972544,3130135
2호선,223,교대(2),1118951,911441,1129588,1144097,1151372,1059132,1160235,1075330,1044000,1203951,1118592,1121598
2호선,224,서초,698293,573775,724414,726712,727352,689549,724557,678739,712351,838412,742599,746570
2호선,225,방배,568924,472899,669259,677979,668960,585565,555712,538169,582054,650820,639098,614751
2호선,226,사당(2),1344935,1132087,1397523,1386395,1418602,1334584,1368807,1292668,1249402,1407299,1379598,1449825
2호선,227,낙성대,916699,773525,958980,952087,979440,897705,936056,890905,865598,958575,937543,941559
2호선,228,서울대입구,1642694,1381037,1717683,1687167,1737798,1582489,1677060,1584105,1523666,1674478,1651044,1650749
2호선,229,봉천,764615,642433,782329,788192,800215,758893,799927,763794,731450,808883,788240,800536
2호선,230,신림,2183181,1870094,2227615,2211123,2268565,2110152,2203703,2113554,1997307,2205029,2153101,2210408
2호선,231,신대방,879000,755660,907261,921224,943085,877375,911653,865452,841544,931401,898580,905309
2호선,232,구로디지털단지,1976838,1652037,1962454,1988523,2009639,1856343,2008715,1873340,1772349,1974889,1945602,1978447
2호선,233,대림(2),887881,768698,932369,933468,955493,895547,916157,859059,846798,934018,897965,909322
2호선,234,신도림,1826235,1544783,1872305,1847360,1890444,1764765,1817877,1744966,1691121,1886140,1837492,1883726
2호선,235,문래,622451,516269,617279,629175,631141,585607,641277,593822,566830,648361,638929,642992
2호선,236,영등포구청(2),681839,565651,686548,700213,703365,643880,698552,647712,627492,705690,700432,698430
2호선,237,당산,665599,561317,699969,726235,737307,675729,705179,663432,646827,700285,664287,648818
2호선,238,합정(2),1040622,886426,1053366,1041225,1080851,1010526,1060843,1034482,961472,1094182,1069918,1097413
2호선,239,홍대입구,2471368,2240204,2592296,2412089,2605938,2392314,2471284,2507373,2233486,2538633,2423259,2652305
2호선,240,신촌,1443129,1243702,1567844,1458918,1547948,1386547,1464127,1386199,1348651,1486454,1481645,1504379
2호선,241,이대,535492,464838,710504,672973,691390,584484,566751,548932,592754,660148,649535,591731
2호선,242,아현,317459,269704,348858,352461,362844,329011,337663,322227,319454,352680,344469,339337
2호선,243,충정로(2),337662,281293,343425,349683,349911,324404,342723,325507,315335,351482,346549,338968
2호선,244,용답,84623,70893,95914,93727,96792,88143,88802,82071,87824,93785,92123,90792
2호선,245,신답,50416,42169,51800,52607,53962,50162,52222,48143,47771,53022,51813,51646
2호선,246,신설동(2),143412,124861,153005,140912,142628,134386,134333,128426,119325,133442,132794,134182
2호선,247,도림천,35978,30257,38642,40181,37757,34732,40090,36784,35627,38862,38574,37417
2호선,248,양천구청,213310,183937,228349,236511,241306,219355,225701,209086,214530,239461,235348,232421
2호선,249,신정네거리,295178,256234,313207,323243,333167,303509,315935,297544,291949,324573,313690,316713
2호선,250,용두,75911,63594,77048,75689,77165,73057,76964,73981,71926,78570,76703,77847
3호선,309,지축,34672,30149,38643,41552,44375,41242,42119,38126,40656,49252,46199,53499
3호선,310,구파발,622763,540015,658003,689435,728056,668937,704209,683332,655265,736973,714868,721916
3호선,311,연신내(3),1283258,1108398,1330134,1326187,1374439,1268889,1316238,1261778,1211102,1338282,1294255,1328172
3호선,312,불광(3),574941,498682,607587,602253,619243,570421,590026,562636,545421,601138,581407,578228
3호선,313,녹번,409695,353308,444742,451345,468893,427433,443425,418700,410421,460097,451875,451135
3호선,314,홍제,580317,500647,632232,635986,652986,587779,592873,563495,567415,631747,611240,603960
3호선,315,무악재,121412,104830,129300,132379,134561,124088,131258,123779,120629,134029,130267,130799
3호선,316,독립문,240678,218157,298436,280189,297309,261942,261769,272796,261362,294093,269340,263186
3호선,317,경복궁,727530,617401,790767,833723,884867,748974,739237,733714,769102,1023668,890274,814989
3호선,318,안국,699233,606154,774006,814201,824422,721459,749961,740566,721662,888722,842874,801553
3호선,319,종로3가(3),354697,298376,344919,347733,353719,325227,349696,332571,305356,349020,335702,347036
3호선,320,을지로3가(3),332828,272293,336046,341239,349128,321364,353454,335072,312086,365152,351553,360979
3호선,322,동대입구,311452,261131,384812,418713,414388,346419,320767,307123,369202,400439,425267,369098
3호선,323,약수(3),442136,377189,458563,460518,470268,431986,453443,428010,413140,460227,448272,453219
3호선,324,금호,267597,229626,275143,278527,285192,262407,274464,259436,254508,279765,271475,275088
3호선,325,옥수,304022,261955,316822,320086,332380,307872,318059,303773,293968,328869,316310,314512
3호선,326,압구정,1053281,877230,1039309,1029884,1040844,992813,1068331,1003201,949487,1069291,1048499,1098557
3호선,327,신사,1048690,883553,1022327,1004214,1049303,974225,1050507,1006536,908715,1024276,1016008,1063977
3호선,328,잠원,193976,164080,201544,208415,216421,196297,205441,190401,188304,216730,209012,208674
3호선,329,고속터미널(3),1868811,1755266,1932968,1818701,1991294,1834931,1878496,1962297,1790441,1900732,1891149,2004409
3호선,330,교대(3),451444,366415,466629,475597,475133,434276,473062,433277,441378,531340,465369,461205
